 StaID  EPI(km) AZI(degree) PGV(cm/s)  T1(sec) T2(sec)  SD(sec) SK     KT    M_ratio  LFHF    A0       AE          ML    MD         txtfile
MASB   177.809  219.523     .804E-04   75.93  131.36   55.42   2.83   8.86    .986  2.192   .701E-05   .341E-03   3.19   3.24  Meq31para_result.txt
RLNB   139.981  271.912     .114E-02   86.18   98.76   12.58   2.39   7.05   2.240  1.554   .945E-04   .152E-02   4.08   1.82  Meq31para_result.txt
NNSB    72.823  330.737     .470E-03   59.96  100.02   40.06   2.40   6.28   1.179   .598   .175E-04   .182E-02   3.06   2.59  Meq31para_result.txt
ALSB   115.550  309.403     .506E-03   33.93   92.28   58.35   1.40   2.96   1.089  2.729   .727E-04   .459E-02   3.34   3.07  Meq32para_result.txt
CHKH    42.510  310.610     .538E-03   41.24   69.74   28.49   1.61   3.05   1.159  1.534   .469E-04   .146E-02   2.54   2.19  Meq32para_result.txt
ESLB   109.610  346.759     .694E-04   50.49  103.89   53.41   1.66   3.61    .880   .003   .138E-04   .334E-03   2.61   2.97  Meq32para_result.txt
TWHB    28.372  227.599     .192E-02   38.52   62.89   24.37   1.49   1.88   1.453  2.235   .154E-03   .779E-02   2.91   2.00  Meq32para_result.txt
ELDB    77.578  299.051     .247E-03   45.13   74.93   29.80   1.36   2.24   1.108   .713   .466E-04   .865E-03   2.60   2.35  Meq32para_result.txt
DPDB   152.526  329.490     .466E-04   47.67  135.28   87.62    .86    .58    .862   .900   .168E-04  -.273E-04   3.06   3.55  Meq32para_result.txt
FULB    55.997  313.956     .101E-02   40.84   86.07   45.23   1.64   2.53   1.127  2.264   .470E-04   .556E-02   2.97   2.64  Meq32para_result.txt
TWGB    62.473  267.030     .137E-02   42.72   71.08   28.37   1.63   2.57   1.438  2.028   .191E-03   .402E-02   3.24   2.25  Meq32para_result.txt
TPUB   119.396  295.006     .133E-03   63.53   74.96   11.43    .62   1.64   1.671  1.109   .372E-04   .138E-03   2.78   1.66  Meq32para_result.txt
HGSD    76.240  339.289     .248E-02   44.46   99.35   54.89   1.31   1.07   1.291  3.468   .208E-03   .277E-01   3.71   2.88  Meq32para_result.txt
YULB    72.331  326.486     .127E-03   44.40   84.83   40.43   1.46   3.18    .876  1.301   .471E-05   .848E-03   2.27   2.60  Meq32para_result.txt
MASB   111.435  256.642     .460E-04   49.76   89.72   39.95   1.77   5.19   1.006  1.748   .853E-05   .156E-03   2.74   2.72  Meq32para_result.txt
ESLB    69.601  208.825     .270E-03   91.26  133.71   42.45   1.88   3.40   1.060 -1.001   .187E-04   .160E-02   2.79   2.63  Meq33para_result.txt
DPDB    93.198  247.125     .283E-03   97.71  128.59   30.88   1.72   2.69   1.194  1.200   .132E-04   .125E-02   2.91   2.44  Meq33para_result.txt
FULB   137.732  200.754     .815E-04  108.76  170.04   61.29   1.30   1.52    .977  2.342   .270E-04  -.921E-04   3.11   3.19  Meq33para_result.txt
NACB    27.546  220.541     .148E-02   85.27  100.96   15.69   1.85   3.17   1.715   .430   .241E-04   .448E-02   2.77   1.62  Meq33para_result.txt
SSLB   104.658  232.671     .931E-04  110.99  121.72   10.73    .90    .05   1.591   .767   .272E-04   .126E-03   2.48   1.56  Meq33para_result.txt
CHGB    69.263  241.178     .790E-03   94.00  123.00   29.00   1.92   3.24   1.361  2.988   .693E-04   .281E-02   3.13   2.30  Meq33para_result.txt
HGSD   102.669  200.191     .149E-02  101.30  146.75   45.45   1.40   1.74   1.316  3.103   .205E-03   .111E-01   3.69   2.80  Meq33para_result.txt
YULB   117.770  204.275     .476E-04  101.34  151.21   49.87   1.74   3.37    .865   .748   .742E-05   .233E-03   2.54   2.94  Meq33para_result.txt
NNSB    40.020  280.518     .613E-03   88.37  108.10   19.74   2.78   7.90   1.492  -.980   .152E-03  -.108E-02   2.78   1.86  Meq33para_result.txt
CHKH    48.957   43.280     .217E-03   24.39   49.61   25.23   2.31   7.57   1.131  1.835   .386E-04   .174E-03   2.38   2.11  Meq34para_result.txt
ELDB    45.533  357.450     .528E-03   21.94   37.22   15.27   2.26   5.37   1.467  1.211   .116E-03  -.325E-04   2.43   1.66  Meq34para_result.txt
ECLB    21.675  203.231     .118E-02   20.22   34.03   13.81   1.88   3.38   1.651   .489   .290E-03  -.794E-03   2.45   1.49  Meq34para_result.txt
FULB    53.288   28.559     .140E-02   23.10   50.96   27.86   2.43   5.20   1.386  3.566   .606E-04   .517E-02   3.06   2.21  Meq34para_result.txt
TWGB     5.833   37.873     .420E-01   13.57   25.54   11.97   2.05   4.89   2.723  -.018   .561E-03   .743E-01   3.56   1.31  Meq34para_result.txt
HGSD    88.237   26.001     .219E-02   30.75   70.24   39.49   1.51   1.50   1.432  3.999   .170E-03   .173E-01   3.77   2.63  Meq34para_result.txt
YULB    72.942   20.677     .551E-04   24.41   73.61   49.20   1.50   1.88    .768  1.246   .272E-05   .539E-03   2.13   2.77  Meq34para_result.txt
MASB    46.060  246.857     .178E-03   21.83   50.01   28.19   3.03   9.95    .943  1.910   .119E-04   .283E-03   2.07   2.19  Meq34para_result.txt
ALSB    14.855  133.078     .517E-03  164.38  175.54   11.16    .56   -.56   1.706  2.493   .175E-03   .892E-03   2.18   1.28  Meq35para_result.txt
ELDB    56.092  144.519     .135E-03  155.91  168.99   13.08    .31   -.29   1.426  1.287   .536E-04   .192E-03   2.22   1.56  Meq35para_result.txt
FULB    74.625  126.411     .746E-04  159.46  197.14   37.68   1.42   1.94   1.051  2.244   .226E-04  -.375E-04   2.67   2.54  Meq35para_result.txt
YULB    64.473  110.762     .257E-04  159.16  181.15   21.99   2.10   8.42    .999  1.536   .699E-05  -.914E-05   2.04   2.04  Meq35para_result.txt
ESLB    24.103  227.502     .109E-02   53.13   92.35   39.23   4.43  26.43   1.040  -.574   .226E-04   .257E-02   2.50   2.40  Meq36para_result.txt
WGKB   110.736  254.285     .436E-03   87.02   92.38    5.36    .23   -.91   3.524  -.142   .181E-03   .253E-03   3.44    .98  Meq36para_result.txt
ENLB     6.285  193.103     .111E-01   52.93   87.33   34.40   3.99  16.92   1.339   .551   .933E-03  -.108E-02   2.98   2.23  Meq36para_result.txt
FULB    90.339  201.388     .981E-04   70.98  148.56   77.58   1.67   3.98    .844  2.248   .249E-04  -.229E-03   2.72   3.23  Meq36para_result.txt
NACB    23.876  354.803     .123E-03   54.58   98.57   44.00   1.40   1.43    .626  1.586   .265E-04   .943E-04   1.57   2.50  Meq36para_result.txt
SSLB    70.009  254.400     .927E-04   62.26   84.93   22.67   2.31   6.02   1.079   .759   .125E-04   .253E-03   2.25   2.09  Meq36para_result.txt
CHGB    46.320  284.085     .400E-03   60.50   85.89   25.39   1.94   5.46   1.175  2.525   .490E-04   .929E-03   2.47   2.10  Meq36para_result.txt
HGSD    55.264  200.785     .200E-02   64.90   96.74   31.84    .95    .92   1.389  3.582   .339E-03   .104E-01   3.24   2.33  Meq36para_result.txt
YULB    70.642  207.465     .437E-04   62.08  114.51   52.43   1.67   2.65    .757   .726   .513E-05   .277E-03   2.13   2.82  Meq36para_result.txt
NNSB    57.113  335.553     .118E-03   59.90  103.80   43.89   2.27   6.12    .832   .129   .742E-05   .467E-03   2.18   2.61  Meq36para_result.txt
DPDB    85.763  252.071     .318E-04   70.97  120.43   49.46    .64    .39    .976  -.048   .128E-04  -.126E-04   2.75   2.82  Meq37para_result.txt
FULB   127.010  200.513     .561E-04   86.01  138.73   52.72    .97   1.12    .986  2.057   .114E-04   .430E-03   2.98   3.02  Meq37para_result.txt
NACB    17.575  230.895     .853E-04   68.58  108.54   39.96   1.13   1.44    .543  1.861   .216E-04   .440E-04   1.30   2.39  Meq37para_result.txt
CHGB    61.134  247.337     .102E-03   79.56  138.95   59.39    .97    .72    .823  2.729   .296E-04   .475E-03   2.38   2.89  Meq37para_result.txt
HGSD    91.953  199.800     .551E-03   78.08  172.58   94.50   1.18   1.38    .974  2.857   .157E-03   .242E-02   3.31   3.40  Meq37para_result.txt
NNSB    39.055  296.043     .451E-04   70.33  111.64   41.31   1.03   1.01    .748  -.140   .790E-05   .238E-03   1.87   2.50  Meq37para_result.txt
ELDB     7.621   94.985     .683E-03   82.90   93.23   10.33   2.45   7.22   1.572  -.475   .475E-04   .597E-03   1.86   1.18  Meq38para_result.txt
FULB    35.099   88.903     .250E-03   88.87  104.80   15.93   2.76   7.53   1.279  1.899   .137E-04   .344E-03   2.12   1.66  Meq38para_result.txt
HGSD    58.582   55.497     .705E-03  100.70  117.48   16.79   1.41   1.31   1.641  2.461   .201E-03   .166E-03   2.93   1.78  Meq38para_result.txt
ALSB    69.393    6.190     .242E-03   71.52   89.17   17.65   1.41   1.33   1.508  2.114   .370E-04   .699E-03   2.82   1.87  Meq39para_result.txt
SGSB    26.481  324.738     .342E-03   67.35   75.82    8.47    .53   -.56   2.079  1.054   .113E-03   .415E-03   2.24   1.08  Meq39para_result.txt
TWMB    32.493  257.569     .444E-03   72.52   98.50   25.98   1.78   5.11   1.257  2.706   .670E-04   .973E-03   2.61   2.07  Meq39para_result.txt
ELDB    44.392   41.099     .130E-03   66.26   77.65   11.39   1.38   1.84   1.429  1.053   .561E-04  -.113E-03   2.00   1.40  Meq39para_result.txt
ECLB    39.260  144.511     .217E-03   69.60   76.01    6.41   1.53   1.80   2.427   .324   .108E-03  -.316E-03   2.14    .88  Meq39para_result.txt
FULB    66.524   58.432     .116E-03   69.04  105.41   36.37   2.32   7.71   1.017  2.677   .200E-04   .117E-03   2.53   2.48  Meq39para_result.txt
TWGB    35.653  102.011     .701E-03   63.88   90.43   26.55   2.57   8.79   1.250  1.253   .114E-03  -.358E-04   2.63   2.10  Meq39para_result.txt
HGSD    97.012   46.028     .642E-03   75.69  124.12   48.43   1.79   3.39   1.197  2.688   .140E-03   .153E-02   3.40   2.84  Meq39para_result.txt
YULB    80.033   45.329     .175E-04   73.21  104.84   31.62   1.47   2.34    .924  1.192   .517E-05   .823E-05   2.23   2.41  Meq39para_result.txt
MASB    32.165  200.026     .139E-03   68.49   80.87   12.37   2.57   8.65   1.351  1.741   .358E-04  -.172E-03   1.93   1.43  Meq39para_result.txt
ALSB    97.254  314.488     .442E-03   94.24  122.44   28.20    .85    .23   1.317  2.561   .744E-04   .218E-02   3.12   2.37  Meq40para_result.txt
CHKH    25.689  331.377     .117E-02  102.80  120.02   17.22   3.88  17.09   1.534   .441   .324E-04   .158E-02   2.60   1.69  Meq40para_result.txt
ESLB   101.721  357.044     .740E-04  119.42  140.66   21.24   1.17   1.42   1.161  -.262   .153E-04   .180E-03   2.48   2.14  Meq40para_result.txt
TWHB    24.255  182.183     .616E-03  103.65  143.17   39.52   1.91   4.17    .979   .918   .788E-04   .128E-02   2.36   2.41  Meq40para_result.txt
ELDB    57.858  304.180     .132E-03  107.34  139.31   31.97   1.20   1.19    .971   .070   .391E-04   .179E-03   2.27   2.34  Meq40para_result.txt
DPDB   138.751  335.469     .669E-04  125.09  153.75   28.66   2.25   8.83   1.124   .350   .126E-04   .617E-04   2.84   2.53  Meq40para_result.txt
FULB    39.404  328.890     .665E-03  105.58  139.89   34.32   1.77   2.93   1.121  1.303   .352E-04   .350E-02   2.62   2.34  Meq40para_result.txt
TWGB    43.206  258.794     .785E-03   63.23  140.80   77.57   3.24  14.60    .880  1.002   .694E-04   .300E-02   2.69   3.06  Meq40para_result.txt
HGSD    66.574  353.917     .284E-02  112.01  153.09   41.08   1.14    .40   1.384  3.372   .150E-03   .234E-01   3.59   2.59  Meq40para_result.txt
YULB    58.693  340.063     .159E-03  108.35  146.02   37.68   3.08  14.54    .908   .270   .762E-05   .463E-03   2.26   2.49  Meq40para_result.txt
