 StaID  EPI(km) AZI(degree) PGV(cm/s)  T1(sec) T2(sec)  SD(sec) SK     KT    M_ratio  LFHF    A0       AE          ML    MD         txtfile
TWMB   103.780  246.307     .510E-03   58.36   96.51   38.15    .61    .12   1.420   .408   .152E-03   .168E-02   3.77   2.66  Meq16para_result.txt
DPDB   102.068  334.600     .112E-03   63.98   94.16   30.18   1.29   1.86   1.309  -.013   .264E-04   .312E-03   3.20   2.45  Meq16para_result.txt
FULB     6.451  267.750     .835E-02   45.71   66.70   20.99   1.38    .67   1.771  1.644   .284E-03   .367E-01   3.18   1.80  Meq16para_result.txt
NACB   110.371   12.635     .493E-04   71.58  115.46   43.88    .88    .72   1.014  1.420   .150E-04   .803E-04   2.84   2.80  Meq16para_result.txt
TWGB    51.054  213.838     .110E-02   32.80   82.05   49.25   1.01   1.27   1.146  1.858   .187E-03   .879E-02   3.09   2.69  Meq16para_result.txt
SSLB    76.855  327.716     .132E-03   56.20   97.70   41.50   2.02   4.42    .985   .949   .183E-04   .449E-03   2.60   2.64  Meq16para_result.txt
CHGB    96.917  348.934     .193E-03   61.82   99.01   37.19   1.00   1.05   1.156  2.583   .416E-04   .851E-03   3.02   2.61  Meq16para_result.txt
HGSD    32.937   11.966     .343E-01   50.46   84.99   34.54   1.78   2.71   1.792  3.590   .817E-03   .200E+00   4.16   2.32  Meq16para_result.txt
YULB    22.052  343.887     .307E-02   47.24   70.62   23.38   5.05  31.24   1.487   .081   .672E-04   .410E-02   2.89   1.94  Meq16para_result.txt
MASB    98.814  228.856     .132E-03   65.19   92.02   26.83   2.23   8.04   1.297  2.183   .288E-04   .226E-04   3.03   2.33  Meq16para_result.txt
NNSB   135.899    1.102     .348E-04   72.48  106.46   33.97    .46    .06   1.175  -.235   .111E-04   .842E-04   3.13   2.67  Meq16para_result.txt
ALSB    67.186  300.745     .891E-03  118.17  146.72   28.56   1.62   3.13   1.378  2.211   .159E-03   .257E-02   3.14   2.28  Meq17para_result.txt
ESLB    68.128    5.361     .285E-03  120.14  167.01   46.87   1.70   3.35   1.020   .309   .203E-04   .170E-02   2.76   2.71  Meq17para_result.txt
WGKB    98.532  303.210     .812E-03  135.33  163.93   28.61   1.13   1.02   1.596  1.164   .808E-04   .505E-02   3.81   2.39  Meq17para_result.txt
TWMB   105.757  246.915     .505E-03  143.99  168.25   24.26   1.02    .75   1.651  1.722   .218E-03  -.233E-03   3.75   2.27  Meq17para_result.txt
ELDB    36.223  267.968     .196E-02  112.44  133.97   21.53   1.70   2.89   1.535   .651   .291E-03   .402E-02   2.95   1.92  Meq17para_result.txt
DPDB   103.251  333.534     .184E-03  127.39  160.32   32.93   1.69   4.29   1.272   .534   .319E-04   .413E-03   3.21   2.53  Meq17para_result.txt
FULB     8.696  269.798     .113E-01  109.99  132.40   22.40   1.53   1.39   1.756  2.172   .721E-03   .370E-01   3.27   1.86  Meq17para_result.txt
NACB   110.117   11.475     .579E-04  127.84  182.32   54.48    .95    .97    .942  1.716   .197E-04  -.297E-04   2.81   2.99  Meq17para_result.txt
TWGB    52.162  216.036     .135E-02  116.36  152.46   36.10   1.10    .41   1.341  1.483   .320E-03   .499E-02   3.26   2.43  Meq17para_result.txt
TPUB    77.461  278.486     .494E-03  130.74  145.51   14.77   1.59   2.66   1.729   .942   .128E-03   .357E-03   3.01   1.74  Meq17para_result.txt
SSLB    78.264  326.418     .176E-03  120.90  150.40   29.50   1.69   2.63   1.138  1.264   .227E-04   .683E-03   2.67   2.34  Meq17para_result.txt
CHGB    97.590  347.671     .261E-03  124.69  162.90   38.21   1.02   1.11   1.179  2.770   .578E-04   .102E-02   3.11   2.64  Meq17para_result.txt
HGSD    32.764    8.042     .463E-01  113.61  148.80   35.19   1.94   3.57   1.839  3.305   .549E-03   .282E+00   4.30   2.34  Meq17para_result.txt
YULB    22.985  338.652     .309E-02  110.88  131.43   20.55   4.11  21.54   1.580   .608   .821E-04   .508E-02   2.90   1.84  Meq17para_result.txt
MASB   100.376  229.804     .114E-03  128.22  150.78   22.56   1.81   3.38   1.388  2.178   .218E-04   .202E-03   3.04   2.19  Meq17para_result.txt
NNSB   136.096     .162     .419E-04  134.71  161.90   27.19    .29   -.59   1.278  -.039   .180E-04   .223E-04   3.16   2.48  Meq17para_result.txt
ESLB    32.235  209.633     .226E-03   30.59   53.10   22.52   2.08   3.71   1.180  -.652   .172E-04   .663E-03   2.30   1.95  Meq18para_result.txt
NACB    12.048  358.408     .118E-03   29.77   45.60   15.82   2.09   5.02   1.215  1.441   .150E-04   .213E-03   1.91   1.57  Meq18para_result.txt
CHGB    43.100  269.379     .206E-03   37.18   52.83   15.65   1.51   1.63   1.609  1.972   .380E-04   .456E-03   2.69   1.67  Meq18para_result.txt
HGSD    65.848  195.660     .152E-02   36.49   59.69   23.20   1.25   1.82   1.669  2.692   .379E-03   .335E-02   3.49   2.09  Meq18para_result.txt
YULB    80.517  202.446     .256E-04   42.08   62.32   20.24    .72    .43   1.327   .859   .754E-05   .602E-04   2.69   2.02  Meq18para_result.txt
TWHB   194.859  191.093     .900E-03   70.86   79.88    9.02    .69   -.28   2.301  3.375   .252E-03   .119E-02   3.96   1.72  Meq20para_result.txt
FULB   144.794  203.091     .143E-03   60.64   93.08   32.44   1.42   3.99   1.298  1.573   .350E-04   .343E-03   3.45   2.66  Meq20para_result.txt
YULB   125.175  206.773     .300E-04   61.64   89.08   27.44   1.18   2.19   1.183  1.525   .867E-05   .638E-04   2.89   2.45  Meq20para_result.txt
ESLB    60.231  213.858     .751E-04   88.79  155.58   66.80    .72    .59    .809  -.593   .259E-04  -.195E-04   2.42   2.99  Meq21para_result.txt
