  Time(sec)     RMS      ENVELOPE
    1.4400  0.76438E-06  0.22524E-05
    1.4500  0.56198E-06  0.23152E-05
    1.4600  0.36437E-06  0.23780E-05
    1.4700  0.22764E-06  0.24408E-05
    1.4800  0.29820E-06  0.25036E-05
    1.4900  0.50601E-06  0.25665E-05
    1.5000  0.74444E-06  0.26293E-05
    1.5100  0.98381E-06  0.26921E-05
    1.5200  0.12108E-05  0.27549E-05
    1.5300  0.14176E-05  0.28177E-05
    1.5400  0.16005E-05  0.28806E-05
    1.5500  0.17596E-05  0.29434E-05
    1.5600  0.18983E-05  0.30062E-05
    1.5700  0.20228E-05  0.30690E-05
    1.5800  0.21401E-05  0.31319E-05
    1.5900  0.22560E-05  0.31947E-05
    1.6000  0.23746E-05  0.32575E-05
    1.6100  0.24988E-05  0.33203E-05
    1.6200  0.26310E-05  0.33831E-05
    1.6300  0.27727E-05  0.34460E-05
    1.6400  0.29239E-05  0.35088E-05
    1.6500  0.30824E-05  0.35716E-05
    1.6600  0.32444E-05  0.36344E-05
    1.6700  0.34059E-05  0.36973E-05
    1.6800  0.35629E-05  0.37601E-05
    1.6900  0.37117E-05  0.38229E-05
    1.7000  0.38487E-05  0.38857E-05
    1.7100  0.39716E-05  0.39485E-05
    1.7200  0.40778E-05  0.40114E-05
    1.7300  0.41645E-05  0.40742E-05
    1.7400  0.42275E-05  0.41370E-05
    1.7500  0.42617E-05  0.41998E-05
    1.7600  0.42626E-05  0.42626E-05
    1.7700  0.42275E-05  0.42782E-05
    1.7800  0.41564E-05  0.42937E-05
    1.7900  0.40528E-05  0.43092E-05
    1.8000  0.39230E-05  0.43247E-05
    1.8100  0.37756E-05  0.43402E-05
    1.8200  0.36222E-05  0.43557E-05
    1.8300  0.34794E-05  0.43713E-05
    1.8400  0.33692E-05  0.43868E-05
    1.8500  0.33152E-05  0.44023E-05
    1.8600  0.33347E-05  0.44178E-05
    1.8700  0.34305E-05  0.44333E-05
    1.8800  0.35886E-05  0.44488E-05
    1.8900  0.37845E-05  0.44644E-05
    1.9000  0.39910E-05  0.44799E-05
    1.9100  0.41834E-05  0.44954E-05
    1.9200  0.43435E-05  0.45109E-05
    1.9300  0.44611E-05  0.45264E-05
    1.9400  0.45324E-05  0.45419E-05
    1.9500  0.45575E-05  0.45575E-05
    1.9600  0.45369E-05  0.45915E-05
