  Time(sec)     RMS      ENVELOPE
    1.4400  0.32776E-05  0.13712E-04
    1.4500  0.43970E-05  0.12231E-04
    1.4600  0.52051E-05  0.10750E-04
    1.4700  0.58030E-05  0.92692E-05
    1.4800  0.61997E-05  0.77882E-05
    1.4900  0.63072E-05  0.63072E-05
    1.5000  0.59936E-05  0.74865E-05
    1.5100  0.52257E-05  0.86658E-05
    1.5200  0.42529E-05  0.98451E-05
    1.5300  0.38514E-05  0.11024E-04
    1.5400  0.49143E-05  0.12204E-04
    1.5500  0.71454E-05  0.13383E-04
    1.5600  0.99038E-05  0.14562E-04
    1.5700  0.12811E-04  0.15742E-04
    1.5800  0.15592E-04  0.16921E-04
    1.5900  0.17972E-04  0.18100E-04
    1.6000  0.19672E-04  0.19280E-04
    1.6100  0.20459E-04  0.20459E-04
    1.6200  0.20181E-04  0.21704E-04
    1.6300  0.18781E-04  0.22950E-04
    1.6400  0.16300E-04  0.24195E-04
    1.6500  0.12873E-04  0.25440E-04
    1.6600  0.87503E-05  0.26686E-04
    1.6700  0.46207E-05  0.27931E-04
    1.6800  0.43659E-05  0.29176E-04
    1.6900  0.90225E-05  0.30422E-04
    1.7000  0.14487E-04  0.31667E-04
    1.7100  0.19895E-04  0.32912E-04
    1.7200  0.24989E-04  0.34158E-04
    1.7300  0.29653E-04  0.35403E-04
    1.7400  0.33766E-04  0.36648E-04
    1.7500  0.37103E-04  0.37894E-04
    1.7600  0.39381E-04  0.39139E-04
    1.7700  0.40385E-04  0.40385E-04
    1.7800  0.40040E-04  0.38711E-04
    1.7900  0.38390E-04  0.37038E-04
    1.8000  0.35571E-04  0.35365E-04
    1.8100  0.31818E-04  0.33692E-04
    1.8200  0.27468E-04  0.32018E-04
    1.8300  0.22981E-04  0.30345E-04
    1.8400  0.18935E-04  0.28672E-04
    1.8500  0.15913E-04  0.26999E-04
    1.8600  0.14289E-04  0.25325E-04
    1.8700  0.14023E-04  0.23652E-04
    1.8800  0.14677E-04  0.21979E-04
    1.8900  0.15677E-04  0.20306E-04
    1.9000  0.16543E-04  0.18632E-04
    1.9100  0.16959E-04  0.16959E-04
    1.9200  0.16765E-04  0.17350E-04
    1.9300  0.15905E-04  0.17741E-04
    1.9400  0.14382E-04  0.18132E-04
    1.9500  0.12268E-04  0.18523E-04
    1.9600  0.97463E-05  0.18914E-04
    1.9700  0.71125E-05  0.19305E-04
    1.9800  0.48364E-05  0.19696E-04
    1.9900  0.38902E-05  0.20087E-04
    2.0000  0.49991E-05  0.20478E-04
    2.0100  0.71144E-05  0.20869E-04
    2.0200  0.93862E-05  0.21260E-04
    2.0300  0.11497E-04  0.21651E-04
    2.0400  0.13331E-04  0.22042E-04
    2.0500  0.14908E-04  0.22433E-04
    2.0600  0.16335E-04  0.22824E-04
    2.0700  0.17718E-04  0.23215E-04
    2.0800  0.19096E-04  0.23606E-04
    2.0900  0.20450E-04  0.23997E-04
    2.1000  0.21751E-04  0.24388E-04
    2.1100  0.22985E-04  0.24779E-04
    2.1200  0.24139E-04  0.25170E-04
    2.1300  0.25184E-04  0.25561E-04
    2.1400  0.26075E-04  0.25952E-04
    2.1500  0.26745E-04  0.26343E-04
    2.1600  0.27117E-04  0.26734E-04
    2.1700  0.27125E-04  0.27125E-04
    2.1800  0.26733E-04  0.27143E-04
    2.1900  0.25909E-04  0.27161E-04
    2.2000  0.24654E-04  0.27178E-04
    2.2100  0.23055E-04  0.27196E-04
    2.2200  0.21288E-04  0.27213E-04
    2.2300  0.19566E-04  0.27231E-04
    2.2400  0.18064E-04  0.27248E-04
    2.2500  0.16857E-04  0.27266E-04
    2.2600  0.15875E-04  0.27283E-04
    2.2700  0.14943E-04  0.27301E-04
    2.2800  0.13853E-04  0.27318E-04
    2.2900  0.12429E-04  0.27336E-04
    2.3000  0.10564E-04  0.27354E-04
    2.3100  0.82323E-05  0.27371E-04
    2.3200  0.55636E-05  0.27389E-04
    2.3300  0.35087E-05  0.27406E-04
    2.3400  0.48858E-05  0.27424E-04
    2.3500  0.86792E-05  0.27441E-04
