  Time(sec)     RMS      ENVELOPE
    1.4400  0.44489E-05  0.47419E-05
    1.4500  0.43439E-05  0.48285E-05
    1.4600  0.42259E-05  0.49151E-05
    1.4700  0.41066E-05  0.50018E-05
    1.4800  0.39909E-05  0.50884E-05
    1.4900  0.38732E-05  0.51750E-05
    1.5000  0.37412E-05  0.52616E-05
    1.5100  0.35821E-05  0.53483E-05
    1.5200  0.33873E-05  0.54349E-05
    1.5300  0.31528E-05  0.55215E-05
    1.5400  0.28774E-05  0.56082E-05
    1.5500  0.25617E-05  0.56948E-05
    1.5600  0.22096E-05  0.57814E-05
    1.5700  0.18301E-05  0.58681E-05
    1.5800  0.14378E-05  0.59547E-05
    1.5900  0.10494E-05  0.60413E-05
    1.6000  0.67751E-06  0.61280E-05
    1.6100  0.32881E-06  0.62146E-05
    1.6200  0.14495E-06  0.63012E-05
    1.6300  0.46410E-06  0.63878E-05
    1.6400  0.86685E-06  0.64745E-05
    1.6500  0.12977E-05  0.65611E-05
    1.6600  0.17357E-05  0.66477E-05
    1.6700  0.21593E-05  0.67344E-05
    1.6800  0.25492E-05  0.68210E-05
    1.6900  0.28899E-05  0.69076E-05
    1.7000  0.31719E-05  0.69943E-05
    1.7100  0.33936E-05  0.70809E-05
    1.7200  0.35644E-05  0.71675E-05
    1.7300  0.37062E-05  0.72542E-05
    1.7400  0.38542E-05  0.73408E-05
    1.7500  0.40489E-05  0.74274E-05
    1.7600  0.43235E-05  0.75140E-05
    1.7700  0.46943E-05  0.76007E-05
    1.7800  0.51582E-05  0.76873E-05
    1.7900  0.56963E-05  0.77739E-05
    1.8000  0.62775E-05  0.78606E-05
    1.8100  0.68611E-05  0.79472E-05
    1.8200  0.74001E-05  0.80338E-05
    1.8300  0.78457E-05  0.81205E-05
    1.8400  0.81545E-05  0.82071E-05
    1.8500  0.82937E-05  0.82937E-05
    1.8600  0.82443E-05  0.80632E-05
    1.8700  0.80012E-05  0.78327E-05
    1.8800  0.75719E-05  0.76022E-05
    1.8900  0.69745E-05  0.73717E-05
    1.9000  0.62389E-05  0.71411E-05
    1.9100  0.54089E-05  0.69106E-05
    1.9200  0.45482E-05  0.66801E-05
    1.9300  0.37523E-05  0.64496E-05
    1.9400  0.31629E-05  0.62191E-05
    1.9500  0.29343E-05  0.59885E-05
    1.9600  0.30957E-05  0.57580E-05
    1.9700  0.34942E-05  0.55275E-05
    1.9800  0.39430E-05  0.52970E-05
    1.9900  0.43167E-05  0.50665E-05
    2.0000  0.45470E-05  0.48359E-05
    2.0100  0.46054E-05  0.46054E-05
    2.0200  0.44914E-05  0.46422E-05
    2.0300  0.42245E-05  0.46790E-05
    2.0400  0.38389E-05  0.47157E-05
    2.0500  0.33810E-05  0.47525E-05
    2.0600  0.29084E-05  0.47892E-05
    2.0700  0.24917E-05  0.48260E-05
    2.0800  0.22190E-05  0.48628E-05
    2.0900  0.21786E-05  0.48995E-05
    2.1000  0.23996E-05  0.49363E-05
    2.1100  0.28229E-05  0.49731E-05
    2.1200  0.33543E-05  0.50098E-05
    2.1300  0.39093E-05  0.50466E-05
    2.1400  0.44202E-05  0.50833E-05
    2.1500  0.48324E-05  0.51201E-05
    2.1600  0.51015E-05  0.51569E-05
    2.1700  0.51936E-05  0.51936E-05
    2.1800  0.50940E-05  0.52971E-05
    2.1900  0.48207E-05  0.54005E-05
    2.2000  0.44370E-05  0.55039E-05
    2.2100  0.40540E-05  0.56073E-05
    2.2200  0.38138E-05  0.57108E-05
    2.2300  0.38235E-05  0.58142E-05
    2.2400  0.40731E-05  0.59176E-05
    2.2500  0.44472E-05  0.60211E-05
    2.2600  0.48205E-05  0.61245E-05
    2.2700  0.51191E-05  0.62279E-05
    2.2800  0.53305E-05  0.63313E-05
    2.2900  0.54877E-05  0.64348E-05
    2.3000  0.56455E-05  0.65382E-05
    2.3100  0.58506E-05  0.66416E-05
    2.3200  0.61172E-05  0.67451E-05
    2.3300  0.64237E-05  0.68485E-05
    2.3400  0.67286E-05  0.69519E-05
    2.3500  0.69904E-05  0.70553E-05
    2.3600  0.71756E-05  0.71588E-05
    2.3700  0.72622E-05  0.72622E-05
    2.3800  0.72394E-05  0.72717E-05
    2.3900  0.71081E-05  0.72813E-05
    2.4000  0.68789E-05  0.72908E-05
    2.4100  0.65670E-05  0.73003E-05
    2.4200  0.61863E-05  0.73099E-05
    2.4300  0.57498E-05  0.73194E-05
    2.4400  0.52749E-05  0.73289E-05
    2.4500  0.47892E-05  0.73385E-05
    2.4600  0.43316E-05  0.73480E-05
    2.4700  0.39486E-05  0.73575E-05
    2.4800  0.36871E-05  0.73671E-05
    2.4900  0.35797E-05  0.73766E-05
    2.5000  0.36297E-05  0.73861E-05
    2.5100  0.38070E-05  0.73957E-05
    2.5200  0.40637E-05  0.74052E-05
    2.5300  0.43534E-05  0.74147E-05
    2.5400  0.46411E-05  0.74243E-05
    2.5500  0.49043E-05  0.74338E-05
    2.5600  0.51325E-05  0.74433E-05
    2.5700  0.53243E-05  0.74529E-05
    2.5800  0.54848E-05  0.74624E-05
    2.5900  0.56232E-05  0.74719E-05
    2.6000  0.57540E-05  0.74815E-05
