  Time(sec)     RMS      ENVELOPE
    1.4400  0.29631E-05  0.29631E-05
    1.4500  0.28950E-05  0.31469E-05
    1.4600  0.27224E-05  0.33307E-05
    1.4700  0.24794E-05  0.35145E-05
    1.4800  0.21935E-05  0.36983E-05
    1.4900  0.18939E-05  0.38821E-05
    1.5000  0.16467E-05  0.40660E-05
    1.5100  0.15756E-05  0.42498E-05
    1.5200  0.17995E-05  0.44336E-05
    1.5300  0.23082E-05  0.46174E-05
    1.5400  0.30032E-05  0.48012E-05
    1.5500  0.37729E-05  0.49850E-05
    1.5600  0.45093E-05  0.51689E-05
    1.5700  0.51280E-05  0.53527E-05
    1.5800  0.55761E-05  0.55365E-05
    1.5900  0.58304E-05  0.57203E-05
    1.6000  0.59041E-05  0.59041E-05
    1.6100  0.58477E-05  0.59781E-05
    1.6200  0.57350E-05  0.60521E-05
    1.6300  0.56460E-05  0.61260E-05
    1.6400  0.56442E-05  0.62000E-05
    1.6500  0.57576E-05  0.62740E-05
    1.6600  0.59666E-05  0.63479E-05
    1.6700  0.62100E-05  0.64219E-05
    1.6800  0.64234E-05  0.64959E-05
    1.6900  0.65774E-05  0.65698E-05
    1.7000  0.66737E-05  0.66438E-05
    1.7100  0.67178E-05  0.67178E-05
    1.7200  0.67031E-05  0.65600E-05
    1.7300  0.66116E-05  0.64023E-05
    1.7400  0.64177E-05  0.62445E-05
    1.7500  0.61082E-05  0.60868E-05
    1.7600  0.57006E-05  0.59290E-05
    1.7700  0.52390E-05  0.57713E-05
    1.7800  0.47729E-05  0.56135E-05
    1.7900  0.43289E-05  0.54558E-05
    1.8000  0.38965E-05  0.52980E-05
    1.8100  0.34515E-05  0.51403E-05
    1.8200  0.29852E-05  0.49825E-05
    1.8300  0.25240E-05  0.48248E-05
    1.8400  0.21541E-05  0.46671E-05
    1.8500  0.20174E-05  0.45093E-05
    1.8600  0.22043E-05  0.43516E-05
    1.8700  0.26357E-05  0.41938E-05
    1.8800  0.31377E-05  0.40361E-05
    1.8900  0.35423E-05  0.38783E-05
    1.9000  0.37206E-05  0.37206E-05
    1.9100  0.35894E-05  0.38005E-05
    1.9200  0.31254E-05  0.38804E-05
    1.9300  0.24061E-05  0.39604E-05
    1.9400  0.16432E-05  0.40403E-05
    1.9500  0.11747E-05  0.41202E-05
    1.9600  0.11947E-05  0.42001E-05
    1.9700  0.14264E-05  0.42801E-05
    1.9800  0.17094E-05  0.43600E-05
    1.9900  0.20807E-05  0.44399E-05
    2.0000  0.25422E-05  0.45198E-05
    2.0100  0.30460E-05  0.45998E-05
    2.0200  0.35560E-05  0.46797E-05
    2.0300  0.40569E-05  0.47596E-05
    2.0400  0.45137E-05  0.48395E-05
    2.0500  0.48527E-05  0.49195E-05
    2.0600  0.49994E-05  0.49994E-05
    2.0700  0.49227E-05  0.49086E-05
    2.0800  0.46454E-05  0.48179E-05
    2.0900  0.42327E-05  0.47271E-05
    2.1000  0.37860E-05  0.46364E-05
    2.1100  0.34294E-05  0.45456E-05
    2.1200  0.32657E-05  0.44549E-05
    2.1300  0.33198E-05  0.43641E-05
    2.1400  0.35282E-05  0.42734E-05
    2.1500  0.37820E-05  0.41826E-05
    2.1600  0.39699E-05  0.40919E-05
    2.1700  0.40011E-05  0.40011E-05
    2.1800  0.38293E-05  0.39512E-05
    2.1900  0.34811E-05  0.39012E-05
    2.2000  0.30555E-05  0.38512E-05
    2.2100  0.26770E-05  0.38013E-05
    2.2200  0.24422E-05  0.37513E-05
    2.2300  0.23972E-05  0.37013E-05
    2.2400  0.25430E-05  0.36514E-05
    2.2500  0.28364E-05  0.36014E-05
    2.2600  0.31801E-05  0.35514E-05
    2.2700  0.34324E-05  0.35015E-05
    2.2800  0.34515E-05  0.34515E-05
    2.2900  0.31541E-05  0.30269E-05
    2.3000  0.25550E-05  0.26023E-05
    2.3100  0.17584E-05  0.21777E-05
    2.3200  0.91779E-06  0.17532E-05
    2.3300  0.21742E-06  0.13286E-05
    2.3400  0.31180E-06  0.90399E-06
    2.3500  0.47942E-06  0.47942E-06
    2.3600  0.41383E-06  0.75751E-06
    2.3700  0.22624E-06  0.10356E-05
    2.3800  0.10719E-06  0.13137E-05
    2.3900  0.26764E-06  0.15918E-05
    2.4000  0.48719E-06  0.18699E-05
    2.4100  0.82391E-06  0.21480E-05
    2.4200  0.13390E-05  0.24261E-05
    2.4300  0.19876E-05  0.27042E-05
    2.4400  0.26675E-05  0.29823E-05
    2.4500  0.32815E-05  0.32604E-05
    2.4600  0.37617E-05  0.35384E-05
    2.4700  0.40510E-05  0.38165E-05
    2.4800  0.40946E-05  0.40946E-05
    2.4900  0.38638E-05  0.42046E-05
    2.5000  0.33664E-05  0.43145E-05
    2.5100  0.26376E-05  0.44245E-05
    2.5200  0.17753E-05  0.45344E-05
