     FRE.     REAL.    IMAG.    AMP.
    1.5000 -.23048683E-08 -.43121040E-08 0.48894435E-08
    1.5156 -.19252045E-02 -.19252043E-02 0.27226503E-02
    1.5313 -.38465493E-08 -.37146651E-02 0.37146651E-02
    1.5469 0.17934766E-02 -.17934818E-02 0.25363625E-02
    1.5625 0.11151095E-07 0.10188684E-08 0.11197545E-07
    1.5781 -.16764904E-02 -.16764802E-02 0.23709082E-02
    1.5938 -.11551768E-07 -.32455944E-02 0.32455944E-02
    1.6094 0.15719678E-02 -.15719839E-02 0.22231096E-02
    1.6250 0.41408952E-08 -.65111063E-08 0.77163147E-08
    1.6406 -.14780789E-02 -.14780791E-02 0.20903193E-02
    1.6563 -.39416381E-08 -.28692808E-02 0.28692808E-02
    1.6719 0.13933175E-02 -.13933225E-02 0.19704520E-02
    1.6875 0.91834824E-08 0.17993369E-08 0.93580965E-08
    1.7031 -.13164472E-02 -.13164347E-02 0.18617286E-02
    1.7188 -.13815711E-07 -.25612931E-02 0.25612931E-02
    1.7344 0.12464487E-02 -.12464682E-02 0.17627585E-02
    1.7500 0.96180788E-08 -.84108027E-08 0.12776895E-07
    1.7656 -.11824787E-02 -.11824796E-02 0.16722780E-02
    1.7813 -.57649006E-08 -.23050588E-02 0.23050588E-02
    1.7969 0.11238188E-02 -.11238297E-02 0.15893276E-02
    1.8125 0.51950475E-08 -.42624033E-08 0.67198660E-08
    1.8281 -.10698541E-02 -.10698512E-02 0.15130001E-02
    1.8438 -.80137239E-08 -.20889346E-02 0.20889346E-02
    1.8594 0.10200599E-02 -.10200741E-02 0.14425926E-02
    1.8750 0.65591417E-08 -.70251569E-08 0.96111998E-08
    1.8906 -.97399479E-03 -.97399624E-03 0.13774376E-02
    1.9063 -.47361226E-08 -.19044825E-02 0.19044825E-02
    1.9219 0.93127234E-03 -.93128294E-03 0.13170255E-02
    1.9375 0.31367573E-08 -.56905840E-08 0.64978454E-08
    1.9531 -.89155755E-03 -.89155906E-03 0.12608538E-02
    1.9688 -.37952352E-08 -.17454724E-02 0.17454724E-02
    1.9844 0.85455511E-03 -.85456402E-03 0.12085297E-02
