     FRE.     REAL.    IMAG.    AMP.
    4.6875 0.35638068E-01 0.67213150E-02 0.36266349E-01
    4.7363 0.13194797E-02 0.49776644E-01 0.49794130E-01
    4.7852 -.24953853E-01 0.16244350E-01 0.29775387E-01
    4.8340 -.37278924E-01 -.59444113E-02 0.37749890E-01
    4.8828 0.58516799E-02 -.13106896E-01 0.14353845E-01
    4.9316 0.60636684E-03 0.17738121E-01 0.17748483E-01
    4.9805 -.16048225E-01 0.11054350E-01 0.19487025E-01
    5.0293 -.38611930E-01 -.12038372E-01 0.40445067E-01
    5.0781 0.17221908E-02 -.51883902E-01 0.51912475E-01
    5.1270 0.18366797E-01 -.13275101E-02 0.18414710E-01
    5.1758 -.81797307E-02 -.70855641E-02 0.10821885E-01
    5.2246 0.16140671E-01 -.41356772E-01 0.44394862E-01
    5.2734 0.70932925E-01 0.41961133E-01 0.82414903E-01
    5.3223 -.24249669E-01 0.25161825E-01 0.34945156E-01
    5.3711 -.83382968E-02 0.30311076E-02 0.88721365E-02
    5.4199 -.36258027E-02 0.56877160E-02 0.67451135E-02
    5.4688 -.19759139E-01 0.59989700E-03 0.19768244E-01
    5.5176 0.10832687E-01 -.49485937E-02 0.11909478E-01
    5.5664 -.60121547E-02 0.21467248E-01 0.22293244E-01
    5.6152 -.38207420E-02 0.47831531E-02 0.61218152E-02
    5.6641 -.85466431E-03 -.10195549E-01 0.10231308E-01
    5.7129 0.24767857E-03 0.18470824E-01 0.18472483E-01
    5.7617 -.17272113E-01 -.96586449E-02 0.19789273E-01
    5.8105 0.51926048E-02 -.19414783E-01 0.20097187E-01
    5.8594 0.90068858E-02 0.72444063E-02 0.11558780E-01
    5.9082 -.39568529E-02 -.24790464E-01 0.25104258E-01
    5.9570 0.19080443E-01 -.10280080E-01 0.21673564E-01
    6.0059 0.11105738E-01 0.14402340E-01 0.18186940E-01
    6.0547 -.32578232E-02 0.13123912E-01 0.13522222E-01
    6.1035 -.58417954E-03 -.31869977E-02 0.32400957E-02
    6.1523 -.13645576E-01 0.14603358E-01 0.19986490E-01
    6.2012 0.94831120E-02 -.11158844E-01 0.14644084E-01
    6.2500 0.30795136E-02 0.11051568E-02 0.32718154E-02
    6.2988 -.25866800E-02 -.64151827E-03 0.26650438E-02
    6.3477 0.45133540E-02 0.11148719E-02 0.46490110E-02
    6.3965 -.33359136E-02 0.66761617E-02 0.74632065E-02
    6.4453 -.56543685E-02 -.86012082E-02 0.10293331E-01
    6.4941 0.80665089E-02 -.55715360E-03 0.80857277E-02
