     FRE.     REAL.    IMAG.    AMP.
    9.3659 -.29326731E-02 0.23992227E-02 0.37890421E-02
    9.4634 0.13048006E-02 -.22410862E-02 0.25932551E-02
    9.5610 0.34395879E-03 -.58307551E-03 0.67696726E-03
    9.6585 0.21617027E-03 -.28262479E-03 0.35581787E-03
    9.7561 -.33106138E-02 0.24175048E-02 0.40993285E-02
    9.8537 0.19503968E-02 -.14509161E-02 0.24308856E-02
    9.9512 0.24973783E-02 0.19307110E-02 0.31566664E-02
   10.0488 -.81214408E-03 0.66209375E-03 0.10478293E-02
   10.1463 0.13287521E-02 0.34752269E-02 0.37205892E-02
   10.2439 -.19088816E-02 -.12092747E-02 0.22596845E-02
   10.3415 -.17922756E-02 -.76493196E-03 0.19486848E-02
   10.4390 0.21230719E-03 -.32807025E-02 0.32875650E-02
   10.5366 -.68532705E-03 0.73223468E-03 0.10029161E-02
   10.6341 -.66918125E-04 -.13406776E-02 0.13423467E-02
   10.7317 0.40586444E-03 -.33863945E-03 0.52858551E-03
   10.8293 0.13846534E-02 0.26299756E-02 0.29722108E-02
   10.9268 -.46589030E-02 0.49915985E-03 0.46855668E-02
   11.0244 -.51829481E-03 0.31948173E-02 0.32365858E-02
   11.1220 -.12108317E-02 -.30474479E-02 0.32791847E-02
   11.2195 0.38690567E-02 -.69809583E-04 0.38696865E-02
   11.3171 -.23619891E-02 0.44383903E-03 0.24033280E-02
   11.4146 -.77673339E-03 -.30203499E-02 0.31186261E-02
   11.5122 0.26170518E-02 -.50169131E-03 0.26647053E-02
   11.6098 0.83894818E-03 0.80736689E-04 0.84282411E-03
   11.7073 -.35573479E-02 0.11376686E-02 0.37348380E-02
   11.8049 -.45765508E-02 0.71168615E-03 0.46315566E-02
   11.9024 -.27361087E-03 -.24429248E-02 0.24581994E-02
   12.0000 -.19160047E-02 0.22491552E-02 0.29546190E-02
   12.0976 -.47765503E-03 -.16589445E-02 0.17263404E-02
   12.1951 0.52323877E-02 0.50056828E-02 0.72411839E-02
   12.2927 0.27912706E-02 -.20319768E-02 0.34525529E-02
   12.3902 0.65993622E-03 0.37493615E-02 0.38069971E-02
   12.4878 0.39478079E-02 0.48612710E-02 0.62623592E-02
   12.5854 -.19782619E-02 0.46968209E-02 0.50964346E-02
   12.6829 0.19846258E-02 0.20046588E-02 0.28208857E-02
   12.7805 -.23306932E-02 -.27158298E-02 0.35788072E-02
   12.8780 -.20919868E-02 0.47436845E-02 0.51844916E-02
   12.9756 -.96596318E-03 -.12109915E-02 0.15490595E-02
   13.0732 0.18865404E-02 0.16883892E-02 0.25317371E-02
   13.1707 -.27290408E-02 -.75576885E-03 0.28317575E-02
   13.2683 0.39702989E-02 0.19766039E-02 0.44351141E-02
   13.3659 -.43303147E-02 -.30749645E-02 0.53110295E-02
   13.4634 0.29599222E-02 -.38547763E-02 0.48600864E-02
   13.5610 0.38935975E-02 0.16129933E-02 0.42144810E-02
   13.6585 0.26705249E-02 -.25758960E-02 0.37103831E-02
   13.7561 -.13037369E-02 0.16559706E-02 0.21075979E-02
   13.8537 0.54129548E-02 0.28941574E-03 0.54206867E-02
   13.9512 0.37655265E-02 0.39215940E-02 0.54367352E-02
   14.0488 0.28256527E-02 -.37950857E-02 0.47314889E-02
   14.1463 0.12698390E-02 0.20417336E-02 0.24044057E-02
   14.2439 -.18248627E-02 0.39120107E-02 0.43167062E-02
   14.3415 0.18604953E-02 0.28419408E-02 0.33967735E-02
   14.4390 0.11384689E-04 -.36935371E-03 0.36952912E-03
   14.5366 0.34626552E-02 0.16644559E-02 0.38419259E-02
   14.6341 -.16494500E-02 0.90877234E-03 0.18832294E-02
   14.7317 0.93332096E-03 -.20330485E-02 0.22370459E-02
   14.8293 0.11272494E-02 -.26227781E-02 0.28547603E-02
   14.9268 -.24918187E-02 0.59897121E-03 0.25627967E-02
   15.0244 0.12482002E-02 0.21266725E-02 0.24659156E-02
   15.1220 -.32139148E-02 -.35553542E-02 0.47926810E-02
   15.2195 0.13545807E-02 0.27507169E-02 0.30661593E-02
