     FRE.     REAL.    IMAG.    AMP.
    9.3802 -.42814712E-03 -.99353935E-03 0.10818643E-02
    9.4779 -.45897448E-03 -.42557789E-04 0.46094332E-03
    9.5756 0.79748529E-03 0.82677876E-03 0.11487149E-02
    9.6733 -.92985062E-03 -.57231402E-03 0.10918634E-02
    9.7710 0.66159107E-03 0.16222262E-02 0.17519477E-02
    9.8687 -.11570390E-02 0.20074551E-02 0.23170272E-02
    9.9664 0.23710515E-03 0.22098471E-02 0.22225308E-02
   10.0641 -.31406732E-03 0.82318502E-03 0.88106294E-03
   10.1618 -.19497233E-02 0.16057296E-02 0.25258244E-02
   10.2595 0.22868329E-03 0.44049346E-02 0.44108666E-02
   10.3573 0.63265056E-05 0.14480917E-02 0.14481056E-02
   10.4550 -.13740623E-02 0.16036215E-02 0.21117881E-02
   10.5527 -.43182061E-02 0.27561816E-02 0.51228353E-02
   10.6504 -.11175297E-02 0.10681398E-02 0.15458963E-02
   10.7481 -.45701463E-03 0.49440218E-02 0.49650995E-02
   10.8458 0.11279432E-03 0.28790829E-02 0.28812916E-02
   10.9435 0.98841311E-03 0.21816359E-02 0.23950983E-02
   11.0412 -.27479595E-02 0.30844279E-02 0.41309777E-02
   11.1389 0.13329095E-02 0.71593197E-02 0.72823423E-02
   11.2366 0.48692697E-02 0.15040161E-01 0.15808739E-01
   11.3344 -.16271720E-01 -.25606509E-01 0.30339120E-01
   11.4321 -.43892856E-02 -.82309581E-02 0.93281567E-02
   11.5298 -.89692548E-02 0.52119987E-02 0.10373643E-01
   11.6275 -.53887106E-02 0.28995879E-02 0.61192983E-02
   11.7252 -.70432632E-03 -.11474033E-01 0.11495630E-01
   11.8229 -.70645253E-03 -.25746487E-02 0.26698110E-02
   11.9206 -.89396164E-03 0.64103544E-03 0.11000426E-02
   12.0183 -.35903400E-02 0.73976270E-02 0.82228603E-02
   12.1160 -.13408940E-01 -.83155008E-02 0.15778061E-01
   12.2137 -.23336613E-02 0.30079698E-02 0.38070800E-02
   12.3115 -.93470147E-03 -.52976478E-02 0.53794738E-02
   12.4092 -.43612390E-03 -.33004107E-02 0.33291013E-02
   12.5069 0.41902851E-03 -.28170273E-03 0.50491712E-03
   12.6046 -.31367497E-03 0.21992340E-02 0.22214910E-02
   12.7023 0.10200862E-02 -.35830464E-02 0.37254258E-02
   12.8000 0.97142294E-03 0.10376800E-02 0.14214226E-02
   12.8977 -.44136256E-03 0.12814312E-02 0.13553106E-02
   12.9954 0.24418538E-02 -.18803714E-02 0.30819550E-02
   13.0931 0.23413978E-02 0.11391815E-02 0.26038198E-02
   13.1908 0.15454591E-02 -.42645476E-03 0.16032179E-02
   13.2885 0.26383980E-02 0.10582148E-02 0.28427034E-02
   13.3863 0.24545577E-02 -.96319150E-03 0.26367768E-02
   13.4840 0.56566781E-03 -.16957036E-02 0.17875656E-02
   13.5817 0.19539935E-02 -.12466834E-02 0.23178244E-02
   13.6794 -.40876741E-04 -.66410698E-03 0.66536380E-03
   13.7771 0.78911668E-04 -.16289651E-02 0.16308754E-02
   13.8748 0.10988665E-02 -.11500661E-02 0.15906475E-02
   13.9725 -.23253697E-03 -.65717869E-03 0.69710636E-03
   14.0702 -.49827783E-03 0.23833616E-03 0.55234495E-03
   14.1679 -.58363850E-03 -.23793855E-02 0.24499202E-02
   14.2656 -.68697892E-03 -.99430454E-03 0.12085452E-02
   14.3634 -.70773729E-03 -.11715703E-02 0.13687472E-02
   14.4611 -.37483004E-03 -.99558337E-03 0.10638062E-02
   14.5588 0.56745528E-04 -.39926369E-03 0.40327603E-03
   14.6565 -.39929606E-03 -.47499241E-03 0.62052812E-03
   14.7542 -.44728769E-03 -.16764591E-03 0.47767293E-03
   14.8519 0.48148612E-03 -.13084990E-02 0.13942735E-02
   14.9496 -.10503387E-02 -.60674211E-03 0.12129911E-02
   15.0473 -.94658608E-03 -.43068844E-03 0.10399604E-02
   15.1450 -.40419310E-03 0.93587187E-04 0.41488628E-03
   15.2427 -.12012352E-02 0.71688992E-04 0.12033725E-02
   15.3405 -.67545206E-03 -.20842259E-04 0.67577354E-03
   15.4382 -.98177756E-03 0.62028220E-03 0.11613084E-02
   15.5359 -.69963938E-03 0.38028526E-03 0.79631159E-03
   15.6336 -.60498738E-03 0.46356270E-03 0.76216803E-03
   15.7313 -.37343687E-03 0.59413043E-03 0.70174498E-03
   15.8290 -.54576498E-03 0.35828919E-03 0.65286335E-03
   15.9267 -.37892969E-03 0.62711275E-03 0.73270604E-03
   16.0244 -.35069927E-03 0.45533603E-03 0.57473546E-03
   16.1221 -.21391759E-03 0.55936177E-03 0.59887086E-03
   16.2198 -.95213378E-04 0.71296742E-03 0.71929698E-03
   16.3176 0.17124954E-04 0.57291420E-03 0.57317008E-03
   16.4153 -.54107266E-04 0.63879561E-03 0.64108300E-03
   16.5130 0.96423188E-04 0.46142581E-03 0.47139285E-03
   16.6107 0.37405099E-03 0.47914381E-03 0.60785929E-03
   16.7084 0.49782736E-03 0.43124004E-03 0.65863499E-03
   16.8061 0.34250118E-03 0.45149808E-03 0.56670769E-03
   16.9038 0.42245496E-03 0.23014194E-03 0.48107537E-03
   17.0015 0.51050243E-03 0.40428218E-03 0.65119646E-03
   17.0992 0.41668414E-03 0.10976433E-03 0.43089892E-03
   17.1969 0.51731372E-03 0.17269744E-03 0.54537866E-03
   17.2947 0.52342302E-03 0.31370905E-03 0.61023358E-03
   17.3924 0.38257928E-03 0.95314237E-04 0.39427364E-03
