     FRE.     REAL.    IMAG.    AMP.
    9.3802 -.46073188E-03 0.28278484E-03 0.54059329E-03
    9.4779 0.48841338E-03 -.91971579E-03 0.10413572E-02
    9.5756 -.72177197E-03 0.95843244E-03 0.11998115E-02
    9.6733 -.30471606E-03 -.97019010E-03 0.10169173E-02
    9.7710 -.14649282E-02 0.41005568E-03 0.15212364E-02
    9.8687 -.55857433E-03 -.58955146E-03 0.81214297E-03
    9.9664 -.10333307E-02 -.28900185E-03 0.10729838E-02
   10.0641 -.14481168E-02 -.10606885E-03 0.14519963E-02
   10.1618 -.13833814E-02 -.12862092E-02 0.18889358E-02
   10.2595 -.95763442E-03 0.75802335E-03 0.12213365E-02
   10.3573 -.52542862E-03 -.64340810E-03 0.83069201E-03
   10.4550 -.27098408E-03 0.29125978E-03 0.39782489E-03
   10.5527 -.23673929E-02 0.15349797E-03 0.23723640E-02
   10.6504 0.33202925E-03 -.70793787E-04 0.33949254E-03
   10.7481 -.17314544E-02 0.54751709E-03 0.18159596E-02
   10.8458 0.11756322E-03 -.26247645E-03 0.28760216E-03
   10.9435 0.29334735E-04 0.16957300E-03 0.17209163E-03
   11.0412 -.11565402E-02 0.67100191E-04 0.11584851E-02
   11.1389 -.27331003E-03 0.26461249E-03 0.38041838E-03
   11.2366 -.53692859E-03 0.25695449E-03 0.59524609E-03
   11.3344 -.59113686E-03 0.24513560E-03 0.63994864E-03
   11.4321 -.22518610E-04 0.82049629E-03 0.82080526E-03
   11.5298 -.10581044E-02 -.36546178E-03 0.11194407E-02
   11.6275 0.81543258E-03 -.82319475E-05 0.81547414E-03
   11.7252 -.76075742E-03 0.66803338E-03 0.10124330E-02
   11.8229 0.95776020E-04 -.40526010E-03 0.41642381E-03
   11.9206 -.72780886E-03 0.11906214E-02 0.13954516E-02
   12.0183 -.76316809E-03 -.76977405E-04 0.76704047E-03
   12.1160 -.15867926E-03 0.96051292E-04 0.18548574E-03
