StaID  EPI(km) AZI(degree) PGV(cm/s) T1(sec) T2(sec)  SD(sec) SK     KT    M_ratio  LFHF    A0       AE      ML  MD     
ALSB    99.443    1.194    0.101E-02   24.07  153.84  129.77   0.87   1.24   0.951  2.139  0.518E-03 -0.160E-01   3.52   3.70
CHKH    80.312   47.661    0.128E-03   42.03  116.47   74.44   0.50   0.27   0.926  1.300  0.343E-04  0.533E-03   2.92   3.15
ESLB   148.641   26.382    0.824E-04   51.86  108.22   56.36   0.53   0.04   0.984 -0.536  0.233E-04  0.589E-03   3.10   3.15
WGKB   121.089  349.193    0.539E-03   63.42   98.12   34.70   0.25  -0.48   1.444  0.272  0.269E-03 -0.140E-04   3.80   2.63
SCZB    31.479  212.606    0.100E-02   22.45   60.98   38.53   0.25  -0.21   1.171  2.882  0.321E-03  0.271E-02   2.83   2.41
TWHB    71.347   84.081    0.371E-03   43.29  104.59   61.29   0.37  -0.18   1.099  2.434  0.126E-03  0.142E-02   3.25   2.95
TWMB    43.949  302.250    0.152E-02   36.29   91.26   54.96   0.63   0.48   1.149  2.641  0.517E-03 -0.379E-03   3.18   2.76
ELDB    68.153   20.402    0.265E-03   19.77   56.03   36.25   0.51   0.47   1.123  1.586  0.112E-03 -0.208E-03   2.79   2.49
ECLB    17.414   95.072    0.238E-02   15.71   56.00   40.29   0.77   0.38   1.074  1.767  0.589E-03  0.905E-02   2.58   2.40
SLBB   252.395   19.739    0.270E-03   89.27  116.01   26.75  -0.04  -0.60   1.375  1.246  0.259E-04  0.300E-03   3.94   2.87
LIOB   226.606    5.721    0.585E-03   90.12  116.60   26.48   0.09  -0.82   1.487  1.632  0.406E-04 -0.210E-04   4.12   2.77
NANB   223.698   25.701    0.576E-04   79.72  125.62   45.90   0.61   0.38   1.085  0.819  0.159E-04  0.545E-04   3.51   3.24
DPDB   158.134    4.921    0.292E-03   61.84  105.78   43.94   0.49  -0.43   1.176 -0.101  0.668E-04 -0.127E-03   3.49   2.97
FULB    82.968   38.156    0.345E-03   41.94   94.09   52.15   0.47  -0.22   1.086  3.016  0.844E-04  0.259E-02   3.10   2.85
TIPB   281.794   21.719    0.127E-03   52.37  142.95   90.57   0.73  -0.03   0.955 -0.144  0.125E-04  0.295E-03   3.85   4.03
TWGB    37.358   51.993    0.208E-02   27.72   68.01   40.29   0.45   0.01   1.334  3.238  0.568E-03  0.931E-02   3.30   2.47
TPUB    78.235  347.671    0.210E-03   34.27   78.40   44.13   0.73   1.44   1.061  1.016  0.117E-03 -0.104E-02   2.86   2.69
TWKB    74.105  178.443    0.730E-03   57.97   83.52   25.55   0.56   0.47   1.647  2.929  0.486E-03 -0.372E-02   3.63   2.20
SSLB   131.362    7.172    0.187E-03   91.83  154.70   62.87   1.47   3.92   0.959  0.626  0.448E-04  0.603E-03   3.06   3.19
CHGB   165.167   13.562    0.545E-03   36.64  126.84   90.20   0.72   0.55   1.038  1.310  0.873E-04  0.557E-02   3.76   3.62
HGSD   117.075   33.377    0.173E-02   63.28   81.41   18.13   0.49   0.24   1.866  2.978  0.966E-03 -0.297E-02   3.84   2.06
YULB   100.826   30.717    0.667E-04   45.93   93.52   47.59   0.32  -0.47   0.955  2.221  0.243E-04  0.159E-03   2.71   2.84
MASB    16.462  270.762    0.872E-03   20.13   61.98   41.85   0.52   0.34   1.067  3.061  0.178E-03  0.721E-02   2.59   2.43
YHNB   235.599   14.493    0.118E-03   70.85  125.69   54.84   0.80   0.75   1.035  2.161  0.373E-04 -0.346E-03   3.55   3.43
