StaID  EPI(km) AZI(degree) PGV(cm/s) T1(sec) T2(sec)  SD(sec) SK     KT    M_ratio  LFHF    A0       AE      ML  MD     
ALSB    40.436  359.176    0.948E-03   91.57  119.46   27.90   1.32   0.95   1.317  3.185  0.301E-03 -0.127E-02   2.85   2.16
SGSB    24.381  253.508    0.644E-03  111.22  127.38   16.15   0.99  -0.08   1.446  1.717  0.207E-03 -0.423E-04   2.36   1.63
ESLB    97.566   40.525    0.556E-04  105.71  136.69   30.99   1.01   0.79   0.984  0.371  0.110E-04  0.255E-03   2.42   2.45
WGKB    65.097  337.079    0.492E-03  101.35  129.40   28.04   0.88   0.57   1.372  1.998  0.159E-03  0.602E-03   3.09   2.25
TAIH    60.745  259.084    0.590E-03  112.78  135.40   22.62   0.69  -0.11   1.498  1.427  0.697E-04 -0.435E-04   3.07   2.05
TWMB    53.379  228.271    0.337E-03  106.94  130.23   23.28   0.36  -0.79   1.370  2.976  0.103E-03  0.138E-02   2.81   2.05
ELDB    21.656   76.964    0.310E-03   88.20   98.92   10.72   0.92   0.66   1.603  2.409  0.115E-03  0.253E-05   2.03   1.27
SLBB   196.745   24.826    0.524E-04  139.16  161.68   22.51   0.59  -0.36   1.292  1.756  0.111E-04  0.179E-03   3.26   2.52
NANB   170.969   33.502    0.266E-04  137.47  157.56   20.09   1.78   4.85   1.205  0.832  0.142E-04 -0.117E-03   2.81   2.33
DPDB    99.163    6.322    0.521E-04  108.85  136.94   28.09   0.76  -0.28   1.130  0.667  0.116E-04  0.325E-03   2.68   2.37
FULB    48.997   82.679    0.358E-03   97.86  109.27   11.40   2.42   7.42   1.686  2.736  0.884E-04 -0.481E-04   2.39   1.42
TIPB   226.835   26.621    0.286E-04  148.04  172.14   24.10   0.78   0.95   1.245  1.679  0.147E-04 -0.111E-03   3.35   2.69
NACB   138.828   34.575    0.215E-04  120.77  135.97   15.20   0.22  -0.20   1.280  0.817  0.969E-05  0.146E-04   2.53   1.98
TWGB    44.853  143.360    0.480E-03   92.71  112.19   19.47   0.75  -0.21   1.442  3.574  0.112E-03  0.166E-02   2.69   1.87
TPUB    26.062  312.017    0.661E-03   85.16  108.47   23.32   2.05   6.25   1.199  2.533  0.609E-04  0.189E-02   2.35   1.96
SSLB    72.656   10.910    0.481E-04   99.64  119.17   19.52   0.39  -0.62   1.069  0.465  0.973E-05  0.242E-03   2.10   1.97
CHGB   107.787   19.560    0.116E-03  111.11  142.93   31.83   0.95   0.40   1.131  2.861  0.328E-04  0.490E-03   2.84   2.51
HGSD    72.912   57.880    0.958E-03   96.21  124.17   27.96   0.87   0.15   1.440  3.062  0.105E-03  0.626E-02   3.28   2.28
YULB    56.144   60.456    0.432E-04   90.21  134.76   44.55   1.40   2.08   0.725  1.825  0.406E-05  0.370E-03   1.90   2.62
MASB    61.803  198.033    0.343E-04  102.77  123.85   21.08   0.43  -0.08   1.098  1.659  0.837E-05  0.302E-04   2.19   1.99
YHNB   178.238   18.422    0.774E-04  112.08  159.99   47.90   1.10   1.45   0.979  2.072  0.550E-05  0.298E-03   3.05   3.11
NNSB   153.444   21.866    0.231E-03  127.79  134.43    6.64  -0.12  -1.04   2.532 -0.128  0.750E-04  0.821E-04   3.32   1.31
NNSB   153.444   21.866    0.701E-04  127.79  134.43    6.64  -0.12  -1.04   2.137 -0.128  0.228E-04  0.249E-04   2.80   1.31
