StaID  EPI(km) AZI(degree) PGV(cm/s) T1(sec) T2(sec)  SD(sec) SK     KT    M_ratio  LFHF    A0       AE      ML  MD     
ALSB    32.679  333.129    0.109E-01  122.98  159.01   36.03   0.49  -0.09   1.554  3.245  0.204E-02  0.921E-01   3.66   2.36
CHKH    45.470  110.930    0.138E-03  125.84  165.38   39.55   1.18   2.25   0.989  0.738  0.260E-04  0.494E-03   2.46   2.48
ESLB    79.817   38.091    0.159E-03  138.77  167.67   28.89   2.16   6.62   1.181 -0.601  0.374E-04 -0.398E-04   2.75   2.33
WGKB    62.718  320.938    0.149E-02  140.10  161.95   21.85   0.42  -0.57   1.765  1.114  0.317E-03  0.173E-02   3.58   2.03
ELDB     9.406  133.027    0.544E-03  124.09  152.54   28.45   0.57   0.26   0.916  1.495  0.245E-03  0.506E-03   1.90   2.07
EASB    96.150  186.219    0.106E-02  106.17  110.11    3.94   0.68  -0.42   5.482  2.224  0.220E-03  0.952E-03   3.61   0.66
SLBB   180.708   22.293    0.183E-03  137.04  155.52   18.48   0.96   2.91   1.617  1.685  0.218E-04 -0.210E-03   3.71   2.30
NANB   153.805   31.464    0.876E-04  162.68  193.87   31.20   0.90   0.19   1.208  1.067  0.166E-04  0.104E-03   3.21   2.66
DPDB    87.326  357.891    0.156E-03  147.35  184.37   37.02   1.15   0.64   1.231  1.050  0.391E-04  0.166E-03   3.17   2.57
FULB    34.750   98.414    0.321E-03  134.58  175.04   40.46   0.78  -0.19   0.957  2.545  0.739E-04  0.118E-02   2.36   2.47
TIPB   210.505   24.595    0.115E-03  185.54  204.38   18.83   0.73  -0.78   1.506  1.527  0.250E-04 -0.587E-04   3.64   2.42
TPUB    34.137  280.431    0.874E-03  129.20  150.22   21.02   1.92   5.64   1.442  0.621  0.215E-03 -0.516E-03   2.73   1.89
SSLB    60.048  359.611    0.152E-03  137.04  155.52   18.48   0.96   0.71   1.347  0.647  0.527E-04  0.213E-03   2.52   1.87
HGSD    54.903   60.031    0.166E-02  134.58  175.04   40.46   1.19   1.35   1.339  2.518  0.379E-03  0.773E-02   3.40   2.54
YULB    38.310   64.728    0.136E-03  129.45  160.10   30.65   1.00   1.03   0.979  2.360  0.303E-04  0.363E-03   2.19   2.24
YHNB   163.330   14.996    0.122E-03  151.74  193.22   41.48   1.72   3.82   1.168  1.892  0.193E-04  0.353E-03   3.43   2.94
TWMB    71.515  229.152    0.468E-03  157.55  173.02   15.47   0.61  -0.64   1.904  0.327  0.198E-03 -0.105E-03   3.35   1.76
