StaID  EPI(km) AZI(degree) PGV(cm/s) T1(sec) T2(sec)  SD(sec) SK     KT    M_ratio  LFHF    A0       AE      ML  MD     
ALSB    23.696   29.497    0.775E-03  106.73  112.06    5.32   0.32  -1.03   3.666  0.312  0.471E-03 -0.447E-03   2.44   0.67
SGSB    28.955  202.520    0.370E-03  103.40  122.11   18.70   0.68   0.06   1.298  1.189  0.137E-03  0.230E-03   2.30   1.78
WGKB    42.219  341.896    0.430E-03  111.84  123.61   11.78   0.49  -0.55   1.924  0.163  0.175E-03 -0.265E-03   2.73   1.42
ELDB    36.553  114.063    0.135E-03  103.90  128.95   25.05   0.87   0.52   1.029  1.472  0.613E-04 -0.313E-03   2.11   2.06
SLBB   184.935   30.815    0.819E-03   64.39   72.44    8.05   0.14  -0.67   2.558 -1.803  0.124E-03  0.715E-03   4.06   1.59
DPDB    82.085   16.359    0.484E-04  126.29  137.49   11.20   0.20  -0.97   1.835 -0.824  0.245E-04 -0.278E-04   2.78   1.52
FULB    62.358  102.524    0.242E-03  111.79  131.92   20.13   0.41  -0.69   1.381  1.282  0.451E-04 -0.762E-04   2.70   1.96
TWGB    68.103  144.982    0.227E-03  111.84  123.61   11.78  -0.13  -0.51   1.859  2.500  0.112E-03 -0.764E-05   2.81   1.51
TPUB     7.483  251.470    0.369E-03  100.73  117.16   16.42   1.16   1.47   1.012  0.749  0.213E-03 -0.149E-02   1.61   1.59
SSLB    57.722   26.744    0.553E-04  111.94  121.10    9.15   0.45   0.44   1.502  0.302  0.172E-04  0.358E-04   1.88   1.26
ANPB   222.591   21.823    0.201E-03  170.07  191.44   21.37   0.49   0.08   1.546 -1.605  0.883E-04 -0.393E-04   3.97   2.57
HGSD    76.406   75.592    0.548E-03  119.30  140.08   20.78   0.38   0.16   1.628  1.575  0.204E-03 -0.509E-03   3.31   2.03
MASB    78.883  184.947    0.986E-04   44.22   56.90   12.68   0.76   0.68   1.645  1.722  0.144E-04 -0.346E-04   2.65   1.61
