StaID  EPI(km) AZI(degree) PGV(cm/s) T1(sec) T2(sec)  SD(sec) SK     KT    M_ratio  LFHF    A0       AE      ML  MD     
SGSB    11.514  215.504    0.618E-02   97.28  159.49   62.20   0.82   0.40   1.085  2.463  0.178E-02  0.194E-01   2.99   2.76
ESLB   107.498   48.088    0.120E-03  124.90  175.00   50.10   0.80   0.26   1.005 -0.343  0.329E-04  0.784E-03   2.92   2.91
WGKB    58.163  351.361    0.114E-02  122.62  178.88   56.26   1.00   1.73   1.236  0.518  0.258E-03  0.742E-02   3.50   2.83
SCZB    87.997  181.864    0.157E-03  136.60  184.81   48.21   0.38  -0.19   1.127  1.280  0.625E-04  0.101E-03   3.16   2.80
TAIH    45.172  251.952    0.647E-03  115.35  190.76   75.40   0.84  -0.10   1.066  2.408  0.748E-04  0.121E-01   3.24   3.04
NANB   178.790   38.333    0.106E-03  145.75  209.11   63.36   0.33  -0.43   0.981  1.160  0.205E-04 -0.180E-05   3.30   3.36
DPDB   100.000   15.957    0.583E-03  120.83  193.61   72.77   0.54   0.31   1.078  1.232  0.367E-04  0.131E-02   3.45   3.20
WLGB    50.219  313.635    0.124E-02  118.66  197.20   78.53   0.42  -0.47   1.172  2.660  0.426E-03  0.143E-01   3.63   3.10
FULB    65.388   86.605    0.299E-03  116.52  173.98   57.46   0.97   1.03   1.015  2.393  0.776E-04  0.181E-02   2.92   2.88
TIPB   232.675   30.501    0.157E-03  178.04  201.55   23.51   0.11  -0.86   1.395  1.408  0.229E-04  0.994E-05   3.75   2.69
TWGB    58.009  131.432    0.884E-03  113.35  179.52   66.17   0.93   1.05   1.054  3.231  0.295E-03  0.821E-03   3.14   2.97
TPUB    15.238  349.799    0.169E-02   97.27  163.44   66.17   1.07   1.35   0.910  1.183  0.173E-03  0.232E-01   2.57   2.82
SSLB    75.320   23.767    0.135E-03  126.06  160.04   33.98   0.33  -0.56   1.084  0.532  0.459E-04  0.635E-03   2.66   2.46
CHGB   112.292   27.964    0.285E-03  119.64  195.51   75.87   0.49  -0.04   1.001  2.596  0.111E-03  0.148E-02   3.29   3.28
HGSD    86.435   65.087    0.294E-02  125.80  173.62   47.82   0.76   0.11   1.398  3.262  0.769E-03  0.138E-01   3.90   2.79
YULB    70.218   68.870    0.753E-04  114.56  182.25   67.69   0.55  -0.33   0.867  2.081  0.175E-04  0.988E-03   2.63   3.04
MASB    61.260  182.230    0.914E-04  111.35  152.57   41.22   0.86   1.13   1.014  1.936  0.198E-04  0.569E-03   2.61   2.57
YHNB   181.949   23.591    0.761E-04  146.08  192.51   46.43   0.39   0.12   1.110  2.076  0.301E-04  0.182E-03   3.44   3.10
TWMB    44.477  211.311    0.183E-02  118.00  176.41   58.40   1.07   1.04   1.162  2.450  0.346E-03  0.134E-01   3.28   2.82
