StaID  EPI(km) AZI(degree) PGV(cm/s) T1(sec) T2(sec)  SD(sec) SK     KT    M_ratio  LFHF    A0       AE      ML  MD     
ALSB    23.644   23.213    0.101E-02   48.52   66.24   17.72   0.29  -0.97   1.602  2.286  0.561E-03  0.331E-03   2.74   1.71
SGSB    28.950  207.673    0.628E-03   54.12   73.23   19.10   0.61  -0.48   1.453  1.070  0.317E-03 -0.500E-03   2.61   1.79
WGKB    44.043  339.444    0.116E-02   59.78   85.62   25.84   1.67   3.37   1.504  0.508  0.285E-03  0.258E-02   3.17   2.11
SLBB   184.699   30.022    0.923E-04   56.87   69.62   12.75   0.41  -0.34   1.828  1.154  0.930E-05 -0.122E-04   3.63   1.99
DPDB    82.525   14.585    0.553E-03   62.40  106.76   44.36   0.65   0.45   1.216  0.990  0.233E-04  0.575E-03   3.30   2.71
WLGB    46.851  293.129    0.137E-02   60.27  112.11   51.85   0.73   0.97   1.268  1.770  0.124E-03  0.198E-01   3.45   2.72
FULB    59.826  101.987    0.122E-03   60.80   91.61   30.81   0.36  -0.22   1.178  1.778  0.571E-04  0.174E-03   2.73   2.32
TPUB     9.531  262.344    0.211E-02   45.52   55.92   10.41   0.42  -0.72   2.036  1.851  0.605E-03  0.334E-02   2.44   1.20
YULB    59.441   81.277    0.683E-04   52.83   95.81   42.98   0.46  -0.42   0.872  1.356  0.150E-04  0.145E-03   2.27   2.60
TWMB    61.944  208.846    0.689E-03   61.12  115.59   54.46   1.57   3.04   1.158  0.770  0.361E-04  0.768E-02   3.27   2.82
