StaID  EPI(km) AZI(degree) PGV(cm/s) T1(sec) T2(sec)  SD(sec) SK     KT    M_ratio  LFHF    A0       AE      ML  MD     
CHKH    82.638   43.718    0.997E-04  149.26  249.60  100.34   0.69   0.45   0.858  0.929  0.330E-04  0.518E-03   2.94   3.42
ESLB   152.759   24.689    0.824E-04  165.97  235.77   69.81   0.63   0.13   0.931 -0.598  0.153E-04  0.114E-02   3.12   3.35
WGKB   127.062  348.677    0.539E-03  158.20  243.61   85.40   0.63   0.13   1.116  0.123  0.173E-03  0.485E-02   3.84   3.44
SCZB    28.377  222.653    0.100E-02  128.13  198.74   70.61   0.48  -0.27   0.942  2.868  0.144E-03  0.130E-01   2.76   2.93
TWHB    69.925   79.293    0.371E-03  152.97  238.94   85.96   0.56  -0.08   0.995  2.443  0.101E-03  0.286E-02   3.23   3.24
TWMB    49.004  306.432    0.152E-02  139.36  213.96   74.60   0.68   0.35   1.069  2.660  0.190E-03  0.193E-01   3.26   3.05
ECLB    15.633   74.787    0.238E-02  121.94  183.46   61.52   1.03   0.81   0.912  1.697  0.265E-03  0.246E-01   2.52   2.76
SLBB   256.975   18.848    0.375E-03  210.10  279.61   69.50   0.76   0.03   1.102  0.438  0.299E-04 -0.145E-03   4.09   3.71
NANB   227.847   24.582    0.648E-04  200.17  283.65   83.48   0.78   0.81   0.910  0.793  0.205E-04 -0.491E-03   3.43   3.77
DPDB   163.586    3.970    0.257E-03  173.30  268.26   94.96   0.82   0.24   0.954  0.606  0.297E-04  0.192E-02   3.49   3.66
FULB    86.170   34.662    0.345E-03  143.87  215.66   71.78   0.66  -0.07   0.993  2.753  0.554E-04  0.452E-02   3.12   3.14
WSSB    57.557  279.255    0.934E-03  154.84  284.26  129.42   0.71   0.56   0.980  2.056  0.324E-03  0.290E-03   3.48   3.56
TIPB   286.232   20.889    0.171E-03  193.34  284.47   91.13   0.66  -0.04   0.955  1.723  0.164E-04 -0.938E-05   3.87   4.05
TWGB    39.485   43.496    0.208E-02  130.43  219.51   89.08   0.96   0.59   1.053  3.377  0.263E-03  0.276E-01   3.34   3.17
TPUB    84.237  346.996    0.216E-03  148.25  209.56   61.31   0.61   0.92   0.982  0.745  0.535E-04  0.202E-02   2.95   3.00
TWKB    68.434  180.216    0.730E-03  161.67  203.15   41.48   0.50   0.30   1.364  2.791  0.224E-03  0.416E-02   3.55   2.61
SSLB   136.711    5.945    0.340E-03  105.46  115.46   10.00   1.39   2.43   1.976  0.367  0.934E-04  0.176E-03   3.18   1.61
CHGB   170.160   12.385    0.385E-03  182.18  258.90   76.73   0.69   0.43   1.049  2.751  0.156E-03 -0.262E-03   3.67   3.50
HGSD   120.647   31.014    0.173E-02  157.09  222.13   65.04   0.96   1.27   1.214  2.892  0.303E-03  0.189E-01   3.86   3.18
YULB   104.634   28.081    0.590E-04  159.67  212.86   53.19   0.39  -0.41   0.928  2.135  0.115E-04  0.804E-03   2.73   2.95
MASB    19.619  287.397    0.872E-03  120.22  182.90   62.68   0.67   0.37   0.964  3.146  0.127E-03  0.110E-01   2.69   2.79
YHNB   240.525   13.644    0.851E-04  178.46  291.28  112.82   0.79   0.99   0.874  1.942  0.188E-04  0.659E-03   3.56   4.08
