StaID  EPI(km) AZI(degree) PGV(cm/s) T1(sec) T2(sec)  SD(sec) SK     KT    M_ratio  LFHF    A0       AE      ML  MD     
ALSB    16.072  295.000    0.120E-02  206.11  223.33   17.21   0.89   0.02   1.636  2.437  0.344E-03  0.412E-02   2.71   1.66
CHKH    57.542  132.130    0.917E-04  207.15  246.15   38.99   0.73   0.20   1.060  0.980  0.315E-04  0.180E-03   2.66   2.51
ESLB    63.889   50.705    0.591E-04  223.74  247.86   24.12   0.32  -0.89   1.079  0.338  0.255E-04  0.115E-03   2.29   2.12
WGKB    47.326  303.819    0.599E-03  220.27  248.64   28.37   0.77  -0.13   1.438  0.754  0.239E-03  0.498E-03   3.17   2.20
TAIH    86.379  238.536    0.176E-03  237.08  262.61   25.53   0.58   0.05   1.450  1.323  0.484E-04  0.558E-03   3.26   2.25
TWMB    87.657  217.939    0.326E-03  237.02  255.69   18.67   0.49  -0.60   1.708  2.293  0.192E-03 -0.698E-03   3.38   1.98
ELDB    29.634  166.177    0.756E-03  206.55  222.44   15.89   1.61   2.32   1.708  2.379  0.123E-03  0.146E-02   2.79   1.64
SLBB   160.333   25.391    0.762E-04  257.81  272.74   14.94   0.93   0.40   1.567  1.151  0.178E-04  0.187E-03   3.20   2.04
NANB   135.360   36.482    0.713E-04  231.75  280.84   49.09   0.55  -0.44   0.921  0.843  0.113E-04 -0.167E-04   2.75   2.99
DPDB    64.979  357.345    0.645E-04  221.64  254.68   33.04   0.64  -0.06   1.090 -0.187  0.158E-04  0.332E-03   2.61   2.40
FULB    44.146  128.434    0.350E-03  215.07  235.15   20.08   0.69  -0.26   1.517  2.236  0.121E-03  0.773E-03   2.87   1.89
TIPB   190.497   27.448    0.530E-04  264.05  276.75   12.70   0.94   0.22   1.618  2.039  0.174E-04  0.863E-04   3.24   2.00
NACB   103.456   38.829    0.299E-04  223.41  275.94   52.53   0.56   0.30   0.830  0.709  0.155E-04 -0.195E-03   2.44   2.93
TWGB    70.806  169.657    0.342E-03  219.05  236.47   17.42   0.31  -0.85   1.695  2.306  0.212E-03 -0.715E-03   3.15   1.86
TPUB    37.084  244.136    0.335E-03  211.77  235.17   23.40   0.88   1.08   1.280  1.296  0.883E-04  0.654E-03   2.56   2.00
SSLB    37.690  359.690    0.643E-04  204.58  241.99   37.41   0.64  -0.01   0.853  0.593  0.364E-04 -0.327E-03   2.05   2.41
CHGB    71.417   18.076    0.156E-03  218.33  248.29   29.96   0.25  -0.68   1.196  2.608  0.696E-04  0.426E-03   2.79   2.33
HGSD    48.034   83.942    0.118E-02  205.54  248.15   42.61   1.09   1.11   1.274  3.277  0.499E-03 -0.349E-02   3.26   2.56
YULB    35.360   99.773    0.142E-03  208.25  238.96   30.71   1.16   1.02   0.948  2.555  0.558E-04 -0.377E-03   2.11   2.23
MASB    98.177  199.771    0.854E-04  221.83  269.81   47.98   0.93   0.69   0.913  1.545  0.146E-04 -0.137E-03   2.59   2.84
YHNB   141.912   17.410    0.698E-04  233.96  277.03   43.07   0.09  -0.72   1.006  2.214  0.158E-04  0.329E-03   2.91   2.89
