StaID  EPI(km) AZI(degree) PGV(cm/s) T1(sec) T2(sec)  SD(sec) SK     KT    M_ratio  LFHF    A0       AE      ML  MD     
SCZB    51.765  195.075    0.618E-03   87.79  116.82   29.03   0.73   0.23   1.332  3.201  0.164E-03  0.188E-02   2.98   2.24
TWMB    33.681  269.969    0.305E-03  117.11  153.11   36.00   0.72   0.58   1.139  1.203  0.123E-03 -0.653E-03   2.69   2.36
ECLB    32.545  140.183    0.324E-03   93.58  121.38   27.79   0.79   0.02   1.089  0.672  0.937E-04  0.123E-02   2.32   2.13
SLBB   231.760   22.496    0.711E-03  158.48  164.38    5.90   0.76  -0.08   2.756 -1.323  0.115E-03  0.782E-03   4.09   1.48
FULB    68.866   52.638    0.866E-04  110.69  153.24   42.56   0.33  -0.08   1.029  1.459  0.157E-04  0.464E-03   2.71   2.63
TWGB    32.926   90.786    0.292E-03   96.07  145.46   49.39   0.55   0.11   0.914  2.448  0.990E-04  0.153E-02   2.41   2.63
YULB    83.787   41.004    0.315E-04  122.42  166.43   44.01   0.48  -0.17   0.890  1.220  0.115E-04 -0.112E-03   2.41   2.71
MASB    26.619  209.154    0.172E-03   89.73  120.04   30.30   0.70   0.11   0.866  2.334  0.329E-04  0.105E-02   1.89   2.19
