StaID  EPI(km) AZI(degree) PGV(cm/s) T1(sec) T2(sec)  SD(sec) SK     KT    M_ratio  LFHF    A0       AE      ML  MD     
ALSB    21.911  331.720    0.120E-02   86.43  102.83   16.40   0.85  -0.03   1.766  2.399  0.356E-03  0.392E-02   2.89   1.64
CHKH    53.640  119.092    0.917E-04   87.06  129.34   42.28   0.80   0.30   1.013  0.836  0.278E-04  0.302E-03   2.60   2.57
ESLB    75.381   45.341    0.591E-04  101.83  127.14   25.31   0.29  -0.81   1.109  0.345  0.987E-05  0.529E-03   2.44   2.20
WGKB    52.374  317.862    0.599E-03  100.49  124.01   23.52   0.66  -0.20   1.579  0.817  0.245E-03  0.770E-03   3.25   2.06
TWMB    75.345  221.258    0.326E-03  113.91  134.26   20.36   0.46  -0.50   1.628  2.250  0.106E-03  0.104E-02   3.27   2.01
ELDB    19.792  145.270    0.756E-03   86.71  103.53   16.81   1.64   2.47   1.544  2.110  0.265E-03 -0.104E-02   2.55   1.65
SLBB   173.436   24.854    0.935E-04  138.19  151.45   13.25   0.82   0.20   1.683  1.067  0.276E-04  0.565E-04   3.34   1.98
NANB   147.964   34.891    0.484E-04  105.70  158.64   52.94   0.48  -0.51   0.913  0.563  0.846E-05  0.151E-03   2.83   3.10
DPDB    77.425    0.858    0.645E-04   99.96  133.94   33.98   0.68   0.01   1.127 -0.212  0.142E-04  0.394E-03   2.78   2.46
FULB    41.548  111.052    0.350E-03   95.12  123.36   28.24   0.89   0.18   1.297  2.245  0.661E-04  0.189E-02   2.82   2.18
TIPB   203.538   26.856    0.530E-04  144.16  159.19   15.03   0.85   0.29   1.511  2.273  0.172E-04  0.717E-04   3.32   2.20
NACB   115.917   36.550    0.425E-04  100.31  131.91   31.60   0.32  -0.11   0.993  0.827  0.128E-04  0.158E-04   2.52   2.53
TWGB    59.596  163.508    0.342E-03   98.52  120.44   21.92   0.51  -0.80   1.484  2.492  0.149E-03  0.208E-03   3.00   2.02
TPUB    29.408  262.813    0.335E-03   91.81  116.42   24.61   0.83   0.92   1.192  1.286  0.907E-04  0.525E-03   2.40   2.02
SSLB    50.354    4.525    0.643E-04   83.06  120.92   37.86   0.54  -0.15   0.922  0.584  0.220E-04  0.234E-03   2.27   2.46
CHGB    84.607   18.130    0.156E-03   90.84  126.28   35.44   0.45  -0.64   1.160  2.977  0.307E-04  0.171E-02   2.93   2.53
HGSD    54.849   71.295    0.118E-02   85.49  125.63   40.14   1.08   1.09   1.331  3.304  0.442E-03 -0.438E-03   3.37   2.53
YULB    39.576   80.524    0.142E-03   88.00  120.11   32.11   1.17   1.06   0.961  2.616  0.399E-04  0.103E-03   2.19   2.28
MASB    84.990  199.949    0.120E-03   95.51  140.78   45.27   0.93   0.66   0.990  1.573  0.121E-04  0.386E-04   2.71   2.74
YHNB   155.100   17.489    0.557E-04  112.66  154.80   42.15   0.10  -0.56   1.019  2.540  0.135E-04  0.446E-03   2.98   2.92
