StaID  EPI(km) AZI(degree) PGV(cm/s) T1(sec) T2(sec)  SD(sec) SK     KT    M_ratio  LFHF    A0       AE      ML  MD     
ALSB    17.792  274.780    0.449E-01   83.37  113.48   30.12   1.22   1.10   1.928  3.804  0.472E-02  0.280E+00   4.14   2.15
WGKB    47.402  296.346    0.159E-02  101.98  134.35   32.37   0.37  -0.17   1.513  1.168  0.387E-03  0.731E-02   3.50   2.32
ELDB    34.313  173.459    0.544E-03  243.51  284.93   41.42   0.76   0.53   1.062  1.461  0.174E-03  0.271E-02   2.64   2.48
EASB   123.979  186.205    0.106E-02  225.81  230.18    4.36   0.56  -0.38   4.468  2.473  0.356E-04  0.170E-02   3.77   0.84
DPDB    59.914  354.098    0.539E-03  109.99  145.20   35.21   0.84   0.68   1.246  1.492  0.396E-04  0.134E-03   3.03   2.43
FULB    45.386  136.208    0.555E-03  251.65  283.55   31.91   0.58  -0.31   1.209  2.620  0.124E-03  0.113E-03   2.78   2.30
TIPB   184.324   27.349    0.723E-04  158.20  173.93   15.73   0.25  -0.48   1.616  1.993  0.212E-04 -0.643E-05   3.50   2.17
TPUB    42.386  239.546    0.874E-03  249.40  280.71   31.32   2.30   8.76   1.271  0.387  0.396E-03 -0.726E-02   2.89   2.27
SSLB    32.551  354.073    0.152E-03  109.10  125.27   16.16   0.88   0.78   1.257  0.676  0.401E-04  0.350E-03   2.09   1.66
HGSD    44.602   90.326    0.166E-02  253.71  284.70   31.00   1.05   0.92   1.424  2.586  0.373E-03  0.815E-02   3.23   2.27
