StaID  EPI(km) AZI(degree) PGV(cm/s) T1(sec) T2(sec)  SD(sec) SK     KT    M_ratio  LFHF    A0       AE      ML  MD     
SCZB    14.395  268.396    0.282E-03  108.03  148.86   40.82   0.74   0.30   0.780  2.338  0.709E-04  0.157E-02   1.87   2.40
TWMB    60.448  325.077    0.624E-03  126.22  204.40   78.18   0.59   0.20   1.017  1.678  0.862E-04  0.427E-02   3.18   3.13
ECLB    31.636   39.014    0.857E-03  113.46  135.26   21.80   1.02   1.19   1.336  0.476  0.272E-03  0.164E-03   2.56   1.92
EASB     9.175   84.932    0.116E-02  152.81  156.60    3.79   1.38   1.34   6.454  1.895  0.215E-03  0.420E-03   2.06   0.32
SLBB   277.920   18.411    0.295E-03  110.03  122.55   12.53   1.06   0.49   1.783  1.446  0.811E-04 -0.189E-03   4.10   2.30
NANB   248.510   23.616    0.231E-03  117.57  122.81    5.24   2.13   4.81   2.602  0.652  0.273E-04  0.155E-03   3.74   1.44
FULB   106.038   30.499    0.106E-03  129.19  198.39   69.19   0.93   1.35   0.960  2.057  0.317E-04  0.501E-03   3.05   3.18
TIPB   307.096   20.353    0.312E-03  113.15  131.40   18.25   0.63   0.32   1.514  1.562  0.713E-05  0.114E-03   4.13   2.73
TWGB    58.629   33.080    0.537E-03  120.41  192.61   72.20   0.83   1.06   0.994  2.890  0.207E-03 -0.383E-04   3.03   3.05
MASB    29.773  332.187    0.320E-03  106.74  138.53   31.79   1.36   1.56   1.039  3.304  0.639E-04  0.149E-02   2.33   2.24
YHNB   261.561   13.598    0.397E-03  111.10  113.06    1.97   0.38  -1.04   6.081 -0.107  0.124E-03  0.128E-03   3.85   0.63
