0.162373E+01   0.50781 -.400427E-07 0.339222E+01
0.162373E+01   0.50781 -.400427E-07 0.339222E+01
0.167373E+01   0.50781 -.400427E-07 0.329089E+01
0.172373E+01   0.50781 -.400427E-07 0.319543E+01
0.177373E+01   0.50781 -.400427E-07 0.310535E+01
0.182373E+01   0.50781 -.400427E-07 0.302021E+01
0.187373E+01   0.50781 -.400427E-07 0.293962E+01
0.192373E+01   0.50781 -.400427E-07 0.286321E+01
0.197373E+01   0.50781 -.400427E-07 0.279068E+01
0.202373E+01   0.50781 -.400427E-07 0.272173E+01
0.207373E+01   0.50781 -.400427E-07 0.265611E+01
0.212373E+01   0.50781 -.400427E-07 0.259357E+01
0.217373E+01   0.50781 -.400427E-07 0.253392E+01
0.222373E+01   0.50781 -.400427E-07 0.247694E+01
0.227373E+01   0.50781 -.400427E-07 0.242247E+01
0.232373E+01   0.50781 -.400427E-07 0.237035E+01
0.237373E+01   0.50781 -.400427E-07 0.232042E+01
0.242373E+01   0.50781 -.400427E-07 0.227255E+01
0.247373E+01   0.50781 -.400427E-07 0.222662E+01
0.252373E+01   0.50781 -.400427E-07 0.218250E+01
0.257373E+01   0.50781 -.400427E-07 0.214010E+01
0.262373E+01   0.50781 -.400427E-07 0.209932E+01
0.267373E+01   0.50781 -.400427E-07 0.206006E+01
0.272373E+01   0.50781 -.400427E-07 0.202224E+01
0.277373E+01   0.50781 -.400427E-07 0.198579E+01
0.282373E+01   0.50781 -.400427E-07 0.195063E+01
0.287373E+01   0.50781 -.400427E-07 0.191669E+01
0.292373E+01   0.50781 -.400427E-07 0.188391E+01
0.297373E+01   0.50781 -.400427E-07 0.185224E+01
0.302373E+01   0.50781 -.400427E-07 0.182161E+01
0.307373E+01   0.50781 -.400427E-07 0.179197E+01
0.312373E+01   0.50781 -.400427E-07 0.176329E+01
0.317373E+01   0.50781 -.400427E-07 0.173551E+01
0.322373E+01   0.50781 -.400427E-07 0.170859E+01
0.327373E+01   0.50781 -.400427E-07 0.168250E+01
0.332373E+01   0.50781 -.400427E-07 0.165719E+01
0.337373E+01   0.50781 -.400427E-07 0.163263E+01
0.342373E+01   0.50781 -.400427E-07 0.160879E+01
0.347373E+01   0.50781 -.400427E-07 0.158563E+01
0.352373E+01   0.50781 -.400427E-07 0.156313E+01
0.357373E+01   0.50781 -.400427E-07 0.154126E+01
0.362373E+01   0.50781 -.400427E-07 0.151999E+01
0.367373E+01   0.50781 -.400427E-07 0.149931E+01
0.372373E+01   0.50781 -.400427E-07 0.147917E+01
0.377373E+01   0.50781 -.400427E-07 0.145958E+01
0.382373E+01   0.50781 -.400427E-07 0.144049E+01
0.387373E+01   0.50781 -.400427E-07 0.142190E+01
0.392373E+01   0.50781 -.400427E-07 0.140378E+01
